feature,importance
mfcc_1_std,0.048611111111111084
mfcc_7_std,0.038888888888888876
mfcc_10_mean,0.03854166666666664
mfcc_8_mean,0.03368055555555553
mfcc_2_std,0.03298611111111109
mfcc_12_mean,0.03229166666666666
delta2_mfcc_2_std,0.03124999999999998
mfcc_7_mean,0.02777777777777777
delta2_mfcc_1_std,0.026041666666666664
mfcc_3_std,0.02604166666666665
chroma_mean,0.025
delta2_mfcc_5_std,0.024999999999999988
delta_mfcc_2_std,0.024652777777777767
delta_mfcc_1_std,0.023958333333333325
delta_mfcc_5_std,0.023263888888888883
mfcc_4_mean,0.021874999999999988
mfcc_4_std,0.020833333333333325
mfcc_6_mean,0.01944444444444444
rms_mean,0.018055555555555547
delta2_mfcc_6_std,0.01631944444444443
delta2_mfcc_8_std,0.01631944444444443
mfcc_5_mean,0.015624999999999967
delta2_mfcc_3_std,0.014930555555555535
delta2_mfcc_7_std,0.014583333333333314
delta_mfcc_6_std,0.014583333333333314
mfcc_10_std,0.014236111111111093
delta_mfcc_3_std,0.01388888888888885
mfcc_3_mean,0.013541666666666641
delta2_mfcc_10_std,0.013194444444444443
mfcc_2_mean,0.012499999999999989
delta_mfcc_8_std,0.011111111111111094
mfcc_1_mean,0.01041666666666663
mfcc_11_std,0.010069444444444419
pitch_std,0.009722222222222188
delta2_mfcc_11_std,0.00937499999999999
mfcc_13_mean,0.009374999999999977
mfcc_12_std,0.007986111111111105
delta2_mfcc_9_std,0.007986111111111093
mfcc_6_std,0.007986111111111093
mfcc_8_std,0.007638888888888862
mfcc_5_std,0.006597222222222221
delta_mfcc_4_std,0.005902777777777757
mfcc_13_std,0.005555555555555547
mfcc_11_mean,0.005208333333333326
spectral_centroid_mean,0.005208333333333315
mfcc_9_std,0.004166666666666641
delta2_mfcc_12_std,0.003472222222222221
tempo,0.00347222222222221
delta_mfcc_7_std,0.003124999999999989
delta2_mfcc_13_mean,0.001736111111111105
delta2_mfcc_7_mean,0.001041666666666663
delta_mfcc_7_mean,0.0
delta_mfcc_10_std,0.0
delta2_mfcc_13_std,-2.2204460492503132e-17
delta_mfcc_8_mean,-0.000347222222222221
delta2_mfcc_9_mean,-0.000694444444444453
pitch_mean,-0.0006944444444444642
delta_mfcc_2_mean,-0.001041666666666663
delta2_mfcc_1_mean,-0.001041666666666674
delta_mfcc_11_std,-0.001041666666666674
delta_mfcc_10_mean,-0.001388888888888884
delta_mfcc_12_mean,-0.002083333333333337
spectral_rolloff_mean,-0.002430555555555558
delta2_mfcc_10_mean,-0.002777777777777768
delta2_mfcc_8_mean,-0.002777777777777768
zcr_mean,-0.00277777777777779
delta2_mfcc_6_mean,-0.003124999999999989
delta_mfcc_4_mean,-0.00347222222222221
delta2_mfcc_11_mean,-0.003819444444444431
delta2_mfcc_2_mean,-0.003819444444444431
delta2_mfcc_5_mean,-0.004861111111111094
delta_mfcc_13_std,-0.004861111111111116
delta2_mfcc_4_std,-0.006250000000000022
delta_mfcc_9_std,-0.006597222222222221
mfcc_9_mean,-0.006944444444444442
delta_mfcc_5_mean,-0.006944444444444442
delta_mfcc_12_std,-0.007291666666666674
delta_mfcc_6_mean,-0.007638888888888873
delta_mfcc_3_mean,-0.007638888888888895
delta2_mfcc_3_mean,-0.007986111111111128
delta_mfcc_13_mean,-0.010069444444444442
delta_mfcc_1_mean,-0.010069444444444464
delta_mfcc_9_mean,-0.010763888888888884
delta_mfcc_11_mean,-0.011111111111111127
delta2_mfcc_12_mean,-0.012847222222222242
delta2_mfcc_4_mean,-0.016319444444444463
