feature,importance
rms_mean,0.08506944444444449
mfcc_5_mean,0.06493055555555557
delta_mfcc_4_std,0.06354166666666669
mfcc_1_std,0.06319444444444447
mfcc_1_mean,0.06215277777777779
mfcc_7_mean,0.06111111111111114
delta_mfcc_5_std,0.0572916666666667
mfcc_4_std,0.0527777777777778
mfcc_2_std,0.043750000000000025
mfcc_2_mean,0.04201388888888891
mfcc_3_mean,0.04097222222222225
mfcc_4_mean,0.03958333333333337
delta2_mfcc_5_std,0.03819444444444446
delta2_mfcc_3_std,0.036458333333333356
mfcc_10_mean,0.03333333333333335
delta_mfcc_1_std,0.02812500000000002
mfcc_8_mean,0.026388888888888924
mfcc_9_mean,0.02569444444444447
mfcc_3_std,0.02465277777777782
mfcc_6_mean,0.024305555555555587
delta2_mfcc_2_std,0.023263888888888917
delta_mfcc_6_std,0.02326388888888891
delta2_mfcc_13_std,0.022222222222222254
delta_mfcc_9_std,0.0211805555555556
spectral_centroid_mean,0.02048611111111115
delta_mfcc_2_mean,0.02048611111111114
mfcc_7_std,0.019097222222222255
pitch_mean,0.018402777777777823
delta_mfcc_7_mean,0.01736111111111115
delta_mfcc_6_mean,0.017361111111111126
mfcc_6_std,0.015972222222222266
delta_mfcc_3_std,0.015277777777777796
delta2_mfcc_1_std,0.014583333333333365
delta_mfcc_7_std,0.014236111111111139
delta2_mfcc_8_std,0.014236111111111139
mfcc_10_std,0.013888888888888923
delta_mfcc_10_mean,0.013194444444444486
delta2_mfcc_6_std,0.013194444444444486
delta_mfcc_11_std,0.01284722222222225
mfcc_13_std,0.012847222222222237
delta2_mfcc_10_std,0.012500000000000034
delta2_mfcc_4_std,0.012500000000000034
mfcc_9_std,0.012152777777777795
mfcc_11_std,0.01111111111111115
delta2_mfcc_11_mean,0.010416666666666696
delta2_mfcc_12_std,0.010416666666666685
chroma_mean,0.009722222222222248
delta2_mfcc_9_mean,0.00868055555555559
delta_mfcc_8_mean,0.008333333333333349
delta2_mfcc_11_std,0.008333333333333349
delta_mfcc_2_std,0.007986111111111133
delta2_mfcc_3_mean,0.007986111111111128
delta2_mfcc_12_mean,0.007638888888888917
mfcc_8_std,0.007638888888888906
mfcc_11_mean,0.006944444444444464
delta2_mfcc_7_std,0.006944444444444453
pitch_std,0.006597222222222232
delta_mfcc_12_mean,0.006597222222222221
mfcc_12_mean,0.006250000000000022
delta_mfcc_8_std,0.00590277777777779
delta2_mfcc_10_mean,0.00555555555555558
delta_mfcc_9_mean,0.005555555555555569
spectral_rolloff_mean,0.005208333333333348
delta_mfcc_11_mean,0.004513888888888906
delta2_mfcc_5_mean,0.004513888888888895
delta_mfcc_13_std,0.004166666666666691
tempo,0.004166666666666674
mfcc_13_mean,0.003819444444444453
zcr_mean,0.003125000000000033
delta2_mfcc_7_mean,0.002777777777777779
mfcc_12_std,0.0010416666666666964
delta_mfcc_10_std,0.001041666666666685
delta2_mfcc_6_mean,0.001041666666666663
delta2_mfcc_13_mean,0.0003472222222222432
delta2_mfcc_2_mean,0.0003472222222222321
delta_mfcc_12_std,-0.00034722222222219876
delta_mfcc_1_mean,-0.000347222222222221
mfcc_5_std,-0.0006944444444444087
delta2_mfcc_9_std,-0.003124999999999989
delta_mfcc_13_mean,-0.004166666666666652
delta_mfcc_5_mean,-0.004166666666666652
delta2_mfcc_1_mean,-0.006249999999999978
delta2_mfcc_4_mean,-0.007638888888888862
delta_mfcc_3_mean,-0.008333333333333304
delta2_mfcc_8_mean,-0.009374999999999967
delta_mfcc_4_mean,-0.013194444444444408
