feature,importance
rms_mean,0.07986111111111108
mfcc_1_mean,0.0631944444444444
mfcc_1_std,0.059374999999999935
delta_mfcc_4_std,0.059374999999999935
mfcc_5_mean,0.056249999999999946
mfcc_7_mean,0.05520833333333328
delta_mfcc_5_std,0.05208333333333328
mfcc_4_std,0.04652777777777773
mfcc_4_mean,0.0381944444444444
mfcc_2_mean,0.03645833333333329
mfcc_3_mean,0.034374999999999954
mfcc_2_std,0.03090277777777773
delta2_mfcc_3_std,0.029513888888888833
delta2_mfcc_5_std,0.02812499999999995
mfcc_6_mean,0.02673611111111106
mfcc_10_mean,0.024652777777777735
mfcc_3_std,0.023263888888888844
delta_mfcc_6_std,0.02256944444444441
spectral_centroid_mean,0.02187499999999995
delta2_mfcc_2_std,0.020486111111111073
delta_mfcc_1_std,0.019791666666666617
delta_mfcc_9_std,0.019791666666666614
mfcc_7_std,0.01944444444444441
mfcc_8_mean,0.019444444444444396
delta2_mfcc_6_std,0.01736111111111106
mfcc_9_mean,0.01701388888888884
chroma_mean,0.015972222222222186
mfcc_6_std,0.015277777777777718
mfcc_13_std,0.014930555555555508
delta_mfcc_2_mean,0.014930555555555503
mfcc_10_std,0.014583333333333292
delta2_mfcc_11_mean,0.01423611111111106
delta_mfcc_3_std,0.013541666666666629
delta2_mfcc_13_std,0.012847222222222187
delta2_mfcc_4_std,0.011805555555555519
pitch_mean,0.011805555555555503
delta_mfcc_7_mean,0.011458333333333293
delta_mfcc_7_std,0.011111111111111054
mfcc_11_std,0.010069444444444403
delta2_mfcc_1_std,0.008680555555555525
delta2_mfcc_9_mean,0.008680555555555514
delta_mfcc_2_std,0.008333333333333299
delta2_mfcc_7_std,0.0076388888888888565
mfcc_8_std,0.007291666666666646
delta_mfcc_8_mean,0.0065972222222221875
delta2_mfcc_3_mean,0.006597222222222176
pitch_std,0.0062499999999999665
delta_mfcc_6_mean,0.0062499999999999665
delta2_mfcc_10_std,0.006249999999999955
mfcc_12_mean,0.006249999999999945
mfcc_13_mean,0.0062499999999999336
delta2_mfcc_11_std,0.005902777777777757
mfcc_12_std,0.005555555555555508
delta2_mfcc_12_mean,0.0052083333333333036
mfcc_9_std,0.005208333333333287
delta2_mfcc_1_mean,0.0048611111111110826
delta_mfcc_12_mean,0.0048611111111110826
delta_mfcc_11_std,0.004861111111111066
delta2_mfcc_12_std,0.004861111111111061
delta_mfcc_8_std,0.0038194444444444088
delta_mfcc_11_mean,0.0031249999999999776
delta_mfcc_10_mean,0.0024305555555555027
delta2_mfcc_7_mean,0.002083333333333304
delta2_mfcc_10_mean,0.0020833333333332817
delta2_mfcc_8_std,0.0006944444444443975
mfcc_11_mean,0.0003472222222221766
spectral_rolloff_mean,-4.4408920985006264e-17
delta_mfcc_13_std,-6.661338147750939e-17
delta2_mfcc_9_std,-0.0006944444444444864
delta2_mfcc_13_mean,-0.0006944444444444864
delta2_mfcc_6_mean,-0.0010416666666667074
zcr_mean,-0.0010416666666667074
delta2_mfcc_2_mean,-0.0010416666666667074
delta2_mfcc_4_mean,-0.0010416666666667185
delta_mfcc_10_std,-0.0013888888888889395
delta_mfcc_13_mean,-0.0024305555555556137
delta2_mfcc_5_mean,-0.0027777777777778234
delta_mfcc_5_mean,-0.004513888888888951
delta_mfcc_9_mean,-0.004513888888888951
mfcc_5_std,-0.005208333333333403
delta_mfcc_12_std,-0.009027777777777834
delta_mfcc_3_mean,-0.009375000000000078
delta_mfcc_1_mean,-0.011111111111111183
delta2_mfcc_8_mean,-0.012847222222222288
delta_mfcc_4_mean,-0.019791666666666697
