feature,importance
mfcc_1_std,0.04340277777777781
mfcc_7_std,0.029513888888888916
mfcc_2_std,0.02465277777777781
mfcc_10_mean,0.0246527777777778
mfcc_4_std,0.023611111111111138
mfcc_12_mean,0.023263888888888928
mfcc_8_mean,0.022222222222222265
delta_mfcc_1_std,0.02048611111111115
mfcc_6_mean,0.02048611111111114
mfcc_7_mean,0.01770833333333337
chroma_mean,0.01701388888888892
delta2_mfcc_2_std,0.01701388888888892
delta2_mfcc_7_std,0.017013888888888905
mfcc_4_mean,0.016666666666666698
delta2_mfcc_1_std,0.015972222222222266
mfcc_8_std,0.014236111111111161
mfcc_5_mean,0.014236111111111149
delta_mfcc_2_std,0.011805555555555614
delta_mfcc_5_std,0.011458333333333393
mfcc_10_std,0.011458333333333393
rms_mean,0.010763888888888929
delta2_mfcc_5_std,0.010763888888888917
mfcc_1_mean,0.009722222222222254
mfcc_13_std,0.00833333333333336
mfcc_3_std,0.007986111111111149
mfcc_2_mean,0.007986111111111138
mfcc_3_mean,0.0076388888888889285
delta2_mfcc_8_std,0.006597222222222232
mfcc_11_mean,0.006250000000000022
pitch_std,0.005902777777777824
mfcc_5_std,0.005902777777777812
delta2_mfcc_6_std,0.00520833333333337
mfcc_11_std,0.004166666666666707
delta2_mfcc_3_std,0.0034722222222222654
mfcc_6_std,0.0034722222222222433
mfcc_12_std,0.00208333333333337
delta2_mfcc_9_std,0.0017361111111111383
delta2_mfcc_10_std,0.0013888888888889395
delta_mfcc_4_std,0.0013888888888889284
pitch_mean,0.0010416666666667074
delta2_mfcc_11_mean,0.001041666666666685
delta2_mfcc_10_mean,0.0003472222222222432
delta2_mfcc_7_mean,0.0003472222222222321
delta_mfcc_6_std,4.4408920985006264e-17
delta_mfcc_7_std,-0.0003472222222221877
mfcc_13_mean,-0.0010416666666666408
delta2_mfcc_13_std,-0.0010416666666666408
zcr_mean,-0.0010416666666666408
delta_mfcc_2_mean,-0.001041666666666652
delta_mfcc_8_mean,-0.0017361111111110828
delta_mfcc_8_std,-0.0017361111111110939
spectral_centroid_mean,-0.002083333333333304
delta2_mfcc_11_std,-0.002083333333333304
delta_mfcc_3_mean,-0.0024305555555555356
delta_mfcc_10_std,-0.002777777777777746
delta_mfcc_10_mean,-0.0027777777777777566
delta_mfcc_3_std,-0.003124999999999989
delta2_mfcc_13_mean,-0.0034722222222221878
spectral_rolloff_mean,-0.0034722222222221986
delta2_mfcc_12_std,-0.00347222222222221
delta2_mfcc_6_mean,-0.0038194444444444088
delta2_mfcc_8_mean,-0.003819444444444431
delta_mfcc_1_mean,-0.004513888888888862
delta2_mfcc_5_mean,-0.0052083333333333036
delta_mfcc_12_mean,-0.0065972222222221875
delta2_mfcc_9_mean,-0.00694444444444442
mfcc_9_std,-0.0072916666666666295
delta_mfcc_7_mean,-0.007291666666666641
delta_mfcc_11_std,-0.007291666666666641
delta_mfcc_9_std,-0.007986111111111072
delta_mfcc_5_mean,-0.007986111111111083
delta_mfcc_6_mean,-0.008680555555555525
delta2_mfcc_1_mean,-0.009027777777777746
delta_mfcc_4_mean,-0.009027777777777746
delta2_mfcc_2_mean,-0.009374999999999956
delta_mfcc_13_std,-0.009374999999999967
delta_mfcc_12_std,-0.011458333333333303
delta2_mfcc_4_std,-0.011805555555555524
delta2_mfcc_12_mean,-0.012152777777777735
delta2_mfcc_3_mean,-0.012499999999999956
delta_mfcc_13_mean,-0.015277777777777724
mfcc_9_mean,-0.015277777777777734
delta2_mfcc_4_mean,-0.015624999999999944
delta_mfcc_9_mean,-0.021527777777777722
delta_mfcc_11_mean,-0.027777777777777735
