feature,importance
mfcc_1_mean,0.015104166666666674
delta_mfcc_6_std,0.012847222222222222
mfcc_1_std,0.010937499999999989
delta_mfcc_1_std,0.009895833333333316
energy_mean,0.00937499999999999
mfcc_5_mean,0.009201388888888894
delta2_mfcc_1_std,0.006076388888888895
mfcc_13_mean,0.005555555555555569
mfcc_6_std,0.005555555555555547
mfcc_5_std,0.005381944444444442
mfcc_9_std,0.005208333333333337
mfcc_8_mean,0.004861111111111105
mfcc_4_std,0.00434027777777779
mfcc_12_std,0.0029513888888889283
delta_mfcc_1_mean,0.00277777777777779
delta_mfcc_10_std,0.002604166666666674
mfcc_3_mean,0.002430555555555558
mfcc_2_mean,0.002083333333333348
delta_mfcc_13_mean,0.002083333333333348
mfcc_7_std,0.0019097222222222321
mfcc_10_mean,0.0015625
delta_mfcc_9_std,0.001041666666666674
mfcc_10_std,0.0008680555555555692
delta_mfcc_7_mean,0.0008680555555555692
delta_mfcc_4_mean,0.000694444444444453
mfcc_6_mean,0.0006944444444444309
delta_mfcc_8_mean,0.0006944444444444309
mfcc_2_std,0.0003472222222222321
delta_mfcc_2_std,0.000347222222222221
delta_mfcc_11_mean,0.00017361111111112714
delta2_mfcc_3_mean,0.00017361111111111605
delta2_mfcc_2_mean,0.00017361111111110494
delta2_mfcc_12_mean,1.1102230246251566e-17
mfcc_9_mean,-1.1102230246251566e-17
delta_mfcc_12_mean,-0.00017361111111111605
delta2_mfcc_4_std,-0.00017361111111111605
zcr_mean,-0.00017361111111112714
delta2_mfcc_6_std,-0.00017361111111112714
delta2_mfcc_13_mean,-0.000347222222222221
delta_mfcc_10_mean,-0.000347222222222221
delta2_mfcc_7_mean,-0.0003472222222222321
delta_mfcc_4_std,-0.000520833333333326
delta2_mfcc_10_std,-0.000694444444444442
mfcc_4_mean,-0.000868055555555558
delta2_mfcc_4_mean,-0.0008680555555555692
pitch_mean,-0.001041666666666685
delta_mfcc_7_std,-0.001215277777777779
pitch_std,-0.0012152777777777902
delta2_mfcc_8_std,-0.0012152777777778012
delta2_mfcc_11_mean,-0.0012152777777778123
mfcc_7_mean,-0.001388888888888884
delta2_mfcc_2_std,-0.001388888888888884
mfcc_13_std,-0.0015625000000000111
delta_mfcc_5_mean,-0.0015625000000000111
delta2_mfcc_8_mean,-0.001909722222222221
delta2_mfcc_9_std,-0.0019097222222222321
delta_mfcc_13_std,-0.002256944444444442
delta2_mfcc_12_std,-0.0022569444444444755
mfcc_3_std,-0.002430555555555569
delta_mfcc_6_mean,-0.002430555555555569
delta_mfcc_8_std,-0.002604166666666674
delta2_mfcc_7_std,-0.002777777777777768
delta2_mfcc_3_std,-0.00277777777777779
delta2_mfcc_5_mean,-0.00277777777777779
delta_mfcc_9_mean,-0.002951388888888906
delta_mfcc_2_mean,-0.002951388888888906
mfcc_8_std,-0.003125
delta_mfcc_3_mean,-0.003125000000000011
mfcc_11_std,-0.003125000000000011
delta2_mfcc_1_mean,-0.003298611111111116
delta2_mfcc_6_mean,-0.003472222222222254
spectral_centroid_mean,-0.003645833333333337
delta2_mfcc_11_std,-0.0038194444444444643
delta2_mfcc_10_mean,-0.00434027777777779
spectral_rolloff_mean,-0.004861111111111127
chroma_mean,-0.005034722222222232
delta_mfcc_11_std,-0.005034722222222232
delta2_mfcc_9_mean,-0.005381944444444442
delta2_mfcc_13_std,-0.005555555555555547
delta_mfcc_5_std,-0.005555555555555558
delta2_mfcc_5_std,-0.006423611111111105
mfcc_11_mean,-0.008854166666666653
delta_mfcc_12_std,-0.00972222222222222
delta_mfcc_3_std,-0.010069444444444431
mfcc_12_mean,-0.011805555555555536
