feature,importance
delta2_mfcc_2_std,0.019791666666666697
rms_mean,0.018750000000000044
spectral_contrast_4_std,0.018055555555555602
mfcc_7_std,0.01770833333333337
spectral_contrast_5_std,0.01701388888888893
spectral_contrast_2_std,0.014930555555555603
delta_mfcc_8_std,0.01354166666666672
spectral_contrast_3_std,0.012847222222222255
mfcc_10_std,0.012500000000000044
delta_mfcc_5_std,0.012500000000000022
delta2_mfcc_1_std,0.011805555555555592
mfcc_9_std,0.011111111111111127
mfcc_1_mean,0.011111111111111127
tonnetz_5_std,0.010763888888888917
delta2_mfcc_4_std,0.010763888888888917
mfcc_12_std,0.010416666666666708
mfcc_4_std,0.010416666666666696
mfcc_4_mean,0.010416666666666696
mfcc_2_mean,0.010416666666666685
delta_mfcc_12_mean,0.009722222222222233
delta2_mfcc_9_std,0.00902777777777779
mfcc_5_mean,0.00868055555555558
spectral_contrast_7_mean,0.00833333333333336
delta_mfcc_1_std,0.008333333333333349
spectral_contrast_7_std,0.007986111111111149
mfcc_13_std,0.007986111111111116
delta2_mfcc_10_std,0.007638888888888917
delta_mfcc_3_mean,0.007638888888888917
mfcc_3_mean,0.007638888888888917
mfcc_12_mean,0.007291666666666696
delta2_mfcc_5_std,0.0069444444444444866
mfcc_11_std,0.006944444444444475
mfcc_3_std,0.006944444444444475
mfcc_10_mean,0.006944444444444464
mfcc_8_std,0.006597222222222232
delta_mfcc_3_std,0.006597222222222232
mfcc_8_mean,0.006250000000000022
tonnetz_2_std,0.006250000000000011
delta2_mfcc_8_std,0.00625
delta2_mfcc_3_std,0.005902777777777801
tonnetz_4_std,0.005902777777777779
delta_mfcc_11_std,0.005902777777777779
tonnetz_6_std,0.00555555555555558
delta_mfcc_7_std,0.005555555555555558
mfcc_2_std,0.005208333333333348
mfcc_5_std,0.005208333333333348
delta_mfcc_4_std,0.005208333333333337
spectral_contrast_6_std,0.004861111111111127
delta_mfcc_6_std,0.004861111111111127
mfcc_9_mean,0.004513888888888917
delta_mfcc_13_std,0.004513888888888906
delta2_mfcc_13_std,0.004513888888888895
spectral_contrast_2_mean,0.004513888888888884
chroma_mean,0.004166666666666696
delta_mfcc_12_std,0.004166666666666674
delta_mfcc_7_mean,0.003819444444444442
mfcc_13_mean,0.003472222222222232
delta2_mfcc_6_std,0.003472222222222232
delta_mfcc_2_std,0.003125000000000011
delta_mfcc_2_mean,0.002430555555555558
tonnetz_1_std,0.002430555555555547
delta_mfcc_10_std,0.001736111111111127
tonnetz_3_std,0.001736111111111127
mfcc_11_mean,0.001736111111111127
spectral_contrast_6_mean,0.001736111111111105
mfcc_1_std,0.0013888888888889284
spectral_contrast_5_mean,0.0013888888888889173
delta2_mfcc_12_std,0.001388888888888884
mfcc_6_mean,0.001041666666666685
tempo,0.0006944444444444642
pitch_mean,0.000694444444444453
delta2_mfcc_11_std,1.1102230246251566e-17
spectral_rolloff_mean,0.0
spectral_centroid_mean,0.0
pitch_std,0.0
zcr_mean,0.0
tonnetz_6_mean,0.0
tonnetz_5_mean,0.0
tonnetz_4_mean,0.0
tonnetz_3_mean,0.0
delta2_mfcc_10_mean,0.0
delta_mfcc_10_mean,0.0
delta_mfcc_9_std,0.0
delta2_mfcc_11_mean,0.0
delta2_mfcc_2_mean,0.0
delta2_mfcc_1_mean,0.0
delta_mfcc_1_mean,0.0
tonnetz_1_mean,0.0
tonnetz_2_mean,0.0
delta2_mfcc_4_mean,0.0
delta2_mfcc_5_mean,0.0
delta2_mfcc_3_mean,0.0
delta_mfcc_4_mean,0.0
delta_mfcc_6_mean,0.0
delta2_mfcc_7_mean,0.0
delta_mfcc_8_mean,0.0
delta_mfcc_11_mean,0.0
delta2_mfcc_12_mean,0.0
delta_mfcc_13_mean,0.0
delta2_mfcc_13_mean,0.0
delta2_mfcc_6_mean,0.0
delta_mfcc_9_mean,0.0
delta2_mfcc_8_mean,0.0
delta2_mfcc_9_mean,0.0
spectral_contrast_4_mean,-0.000347222222222221
spectral_contrast_1_std,-0.0006944444444444087
spectral_contrast_1_mean,-0.0010416666666666408
spectral_contrast_3_mean,-0.002083333333333326
delta_mfcc_5_mean,-0.002083333333333326
mfcc_6_std,-0.007291666666666641
delta2_mfcc_7_std,-0.007291666666666641
mfcc_7_mean,-0.008333333333333293
