feature,importance
delta2_mfcc_5_std,0.0694444444444444
rms_mean,0.06249999999999996
delta2_mfcc_1_std,0.0475694444444444
mfcc_5_mean,0.04409722222222218
mfcc_8_mean,0.043402777777777735
mfcc_1_std,0.04131944444444441
mfcc_10_mean,0.03993055555555551
spectral_contrast_1_mean,0.0385416666666666
mfcc_4_mean,0.03541666666666661
mfcc_12_std,0.035069444444444375
delta_mfcc_4_std,0.03472222222222217
delta2_mfcc_7_std,0.034027777777777726
delta2_mfcc_3_std,0.03298611111111105
spectral_contrast_2_std,0.031597222222222165
mfcc_3_mean,0.02951388888888886
mfcc_4_std,0.028819444444444387
mfcc_10_std,0.028124999999999956
delta2_mfcc_2_std,0.027777777777777745
mfcc_12_mean,0.027777777777777735
spectral_contrast_5_std,0.026736111111111037
spectral_contrast_7_std,0.025347222222222177
delta2_mfcc_13_std,0.025347222222222177
mfcc_2_mean,0.024999999999999946
delta_mfcc_5_std,0.024652777777777735
tonnetz_3_std,0.024305555555555504
tonnetz_6_std,0.02430555555555549
mfcc_2_std,0.023611111111111062
mfcc_3_std,0.023263888888888827
spectral_contrast_4_std,0.0225694444444444
delta2_mfcc_4_std,0.02083333333333326
spectral_contrast_3_mean,0.020486111111111073
spectral_contrast_5_mean,0.01979166666666663
tonnetz_5_std,0.01979166666666663
spectral_contrast_6_std,0.019791666666666617
delta_mfcc_6_std,0.019444444444444375
spectral_contrast_6_mean,0.018055555555555502
mfcc_6_mean,0.01770833333333327
delta_mfcc_7_mean,0.01736111111111106
mfcc_13_std,0.016666666666666607
mfcc_7_mean,0.015624999999999967
delta2_mfcc_8_std,0.015624999999999955
delta_mfcc_1_std,0.015624999999999944
delta_mfcc_2_mean,0.015277777777777724
spectral_contrast_7_mean,0.01423611111111105
mfcc_6_std,0.01388888888888884
mfcc_11_mean,0.013541666666666629
delta_mfcc_12_mean,0.013194444444444408
tonnetz_2_std,0.012847222222222177
delta_mfcc_10_std,0.012847222222222177
delta2_mfcc_10_std,0.012152777777777735
spectral_contrast_1_std,0.011805555555555524
spectral_contrast_3_std,0.011805555555555503
delta2_mfcc_11_std,0.01076388888888885
tonnetz_4_std,0.01076388888888885
spectral_contrast_4_mean,0.01076388888888884
delta2_mfcc_6_std,0.01041666666666663
delta_mfcc_2_std,0.010069444444444419
delta_mfcc_8_std,0.009722222222222188
mfcc_11_std,0.009722222222222165
mfcc_5_std,0.009374999999999944
delta_mfcc_11_std,0.009027777777777746
delta_mfcc_7_std,0.008680555555555502
tonnetz_1_std,0.008680555555555502
mfcc_8_std,0.0072916666666666295
chroma_mean,0.007291666666666608
mfcc_9_mean,0.0069444444444444085
mfcc_1_mean,0.0062499999999999665
spectral_contrast_2_mean,0.006249999999999955
mfcc_7_std,0.006249999999999945
delta_mfcc_12_std,0.0052083333333333036
delta_mfcc_13_std,0.00451388888888885
delta2_mfcc_9_std,0.0024305555555555135
delta_mfcc_3_std,0.0017361111111110605
mfcc_9_std,0.0013888888888888506
mfcc_13_mean,0.0010416666666666185
pitch_mean,0.0006944444444444198
delta_mfcc_5_mean,0.0006944444444443975
delta_mfcc_3_mean,0.0003472222222221655
spectral_centroid_mean,0.0
tonnetz_3_mean,0.0
delta_mfcc_8_mean,0.0
delta2_mfcc_2_mean,0.0
delta_mfcc_1_mean,0.0
delta2_mfcc_1_mean,0.0
tonnetz_6_mean,0.0
tonnetz_5_mean,0.0
tonnetz_4_mean,0.0
tonnetz_1_mean,0.0
tonnetz_2_mean,0.0
spectral_rolloff_mean,0.0
zcr_mean,0.0
pitch_std,0.0
delta_mfcc_4_mean,0.0
delta2_mfcc_3_mean,0.0
delta2_mfcc_4_mean,0.0
delta2_mfcc_5_mean,0.0
delta2_mfcc_10_mean,0.0
delta2_mfcc_7_mean,0.0
delta_mfcc_6_mean,0.0
delta2_mfcc_6_mean,0.0
delta2_mfcc_8_mean,0.0
delta_mfcc_9_mean,0.0
delta_mfcc_9_std,0.0
delta2_mfcc_9_mean,0.0
delta_mfcc_13_mean,0.0
delta_mfcc_10_mean,0.0
delta_mfcc_11_mean,0.0
delta2_mfcc_11_mean,0.0
delta2_mfcc_13_mean,0.0
delta2_mfcc_12_mean,0.0
tempo,-0.0017361111111111605
delta2_mfcc_12_std,-0.005208333333333403
